id,source,target,length,foot,car_forward,car_backward,bike_forward,bike_backward,wkt
242687448,2501444267,8279147188,4.502497720257096,1,1,0,2,0,"LINESTRING(5.0672857 45.6326747, 5.0673424 45.6326667)"
242687448,8279147188,2501444266,6.024765910652853,1,1,0,2,0,"LINESTRING(5.0673424 45.6326667, 5.0674183 45.6326561)"
242687448,2501444266,2501444265,9.904054113260688,1,1,0,2,0,"LINESTRING(5.0674183 45.6326561, 5.0675418 45.6326347)"
242687448,2501444265,2501444264,10.203593317412764,1,1,0,2,0,"LINESTRING(5.0675418 45.6326347, 5.0676705 45.6326173)"
242687448,2501444264,2501444262,12.443617982017239,1,1,0,2,0,"LINESTRING(5.0676705 45.6326173, 5.0678270 45.6325945)"
242687448,2501444262,8279147208,3.9633615486781233,1,1,0,2,0,"LINESTRING(5.0678270 45.6325945, 5.0678763 45.6325856)"
242687448,8279147208,2501444260,8.84744890190326,1,1,0,2,0,"LINESTRING(5.0678763 45.6325856, 5.0679376 45.6325702, 5.0679790 45.6325525)"
242687449,2501444239,2501444262,34.48674703662712,1,1,0,2,0,"LINESTRING(5.0677282 45.6322925, 5.0678270 45.6325945)"
242687450,2501444250,2501444267,35.793595495694795,1,1,0,2,0,"LINESTRING(5.0672007 45.6323587, 5.0672857 45.6326747)"
242687451,2501444241,2501444264,35.14679578796773,1,1,0,2,0,"LINESTRING(5.0675977 45.6323057, 5.0676705 45.6326173)"
242687452,2501444252,2501444268,36.21310334608785,1,1,0,2,0,"LINESTRING(5.0670625 45.6323762, 5.0671565 45.6326948)"
242687453,2501444248,2501444266,35.66227190089647,1,1,0,2,0,"LINESTRING(5.0673296 45.6323418, 5.0674183 45.6326561)"
242687454,2501444245,2501444265,35.05933369435355,1,1,0,2,0,"LINESTRING(5.0674547 45.6323257, 5.0675418 45.6326347)"
242687455,2501444217,2501444216,39.27300563324134,1,1,1,2,2,"LINESTRING(5.0693529 45.6313239, 5.0698563 45.6313004)"
242687455,2501444216,2501444215,35.37952371847421,1,1,1,2,2,"LINESTRING(5.0698563 45.6313004, 5.0703098 45.6312793)"
242687456,8279147180,2501444269,43.5285981415595,1,1,0,2,0,"LINESTRING(5.0668111 45.6324416, 5.0668903 45.6327373, 5.0670165 45.6327187)"
242687457,2501444227,8279147253,6.009558514392551,1,0,0,5,5,"LINESTRING(5.0653594 45.6321786, 5.0654340 45.6321925)"
242687457,8279147253,8279147316,58.241363085384194,1,0,0,5,5,"LINESTRING(5.0654340 45.6321925, 5.0655273 45.6322117, 5.0659807 45.6322944, 5.0661619 45.6323089)"
242687457,8279147316,8279147170,4.136504255059492,1,0,0,5,5,"LINESTRING(5.0661619 45.6323089, 5.0662147 45.6323131)"
242687457,8279147170,8279147328,17.978752031967698,1,0,0,5,5,"LINESTRING(5.0662147 45.6323131, 5.0664438 45.6323336)"
242687457,8279147328,8279147181,26.335193537232495,1,0,0,5,5,"LINESTRING(5.0664438 45.6323336, 5.0665566 45.6323437, 5.0667812 45.6323439)"
242687457,8279147181,2501444246,20.964755180260347,1,0,0,5,5,"LINESTRING(5.0667812 45.6323439, 5.0670502 45.6323346)"
242687457,2501444246,9277409418,21.32931083352048,1,0,0,5,5,"LINESTRING(5.0670502 45.6323346, 5.0673209 45.6323049)"
242687457,9277409418,9277409417,21.454089095477634,1,0,0,5,5,"LINESTRING(5.0673209 45.6323049, 5.0675932 45.6322751)"
242687457,9277409417,9277394316,14.705602770089268,1,0,0,5,5,"LINESTRING(5.0675932 45.6322751, 5.0677157 45.6322617, 5.0677788 45.6322510)"
242687457,9277394316,8279147210,2.5321598848532942,1,0,0,5,5,"LINESTRING(5.0677788 45.6322510, 5.0678104 45.6322456)"
242689483,2501460108,2501460097,153.9207636771276,1,1,1,2,2,"LINESTRING(5.0625901 45.6319374, 5.0626162 45.6314716, 5.0635885 45.6313280, 5.0639049 45.6313148)"
242689483,2501460097,2501460096,15.981872141061434,1,1,1,2,2,"LINESTRING(5.0639049 45.6313148, 5.0641058 45.6312852)"
242689484,8285019867,2501460095,5.662095764361226,1,1,1,2,2,"LINESTRING(5.0589073 45.6307538, 5.0589171 45.6308042)"
242689484,2501460095,8285019913,2.6471244940994834,1,1,1,2,2,"LINESTRING(5.0589171 45.6308042, 5.0589223 45.6308277)"
242689484,8285019913,2501460113,238.39738333335896,1,1,1,2,2,"LINESTRING(5.0589223 45.6308277, 5.0592225 45.6315964, 5.0594675 45.6316257, 5.0595702 45.6319309, 5.0593711 45.6320164, 5.0596330 45.6326858)"
242689485,2501460117,2501460116,35.81240921101213,1,1,1,2,2,"LINESTRING(5.0629187 45.6348438, 5.0628985 45.6345224)"
242811132,1433558234,1433558232,30.785738289531828,1,1,1,2,2,"LINESTRING(5.0636829 45.6288267, 5.0636660 45.6289069, 5.0636438 45.6290078, 5.0636163 45.6290992)"
242811132,1433558232,6815993333,7.5515274642008245,1,1,1,2,2,"LINESTRING(5.0636163 45.6290992, 5.0636131 45.6291670)"
242811132,6815993333,2287645628,8.695538583783657,1,1,1,2,2,"LINESTRING(5.0636131 45.6291670, 5.0636110 45.6292451)"
242811132,2287645628,1433558154,5.668059307914508,1,1,1,2,2,"LINESTRING(5.0636110 45.6292451, 5.0636091 45.6292960)"
242811135,2502643503,2502643518,31.784090223194788,1,0,0,5,5,"LINESTRING(5.0632386 45.6288288, 5.0632604 45.6289333, 5.0635176 45.6289378)"
242811136,2502643481,4430547226,19.048127891268663,1,1,1,2,2,"LINESTRING(5.0638744 45.6276122, 5.0639371 45.6277776)"
242811136,4430547226,1433558644,40.36457333221442,1,1,1,2,2,"LINESTRING(5.0639371 45.6277776, 5.0640808 45.6281260)"
242811136,1433558644,2502643489,34.18888802267668,1,1,1,2,2,"LINESTRING(5.0640808 45.6281260, 5.0641627 45.6281772, 5.0642689 45.6283952)"
242811137,1744500246,2502643483,58.708697396298945,1,1,1,2,2,"LINESTRING(5.0636160 45.6276655, 5.0638865 45.6281578)"
242811138,1433558564,4430547225,68.9409437758226,1,1,0,2,0,"LINESTRING(5.0644599 45.6283308, 5.0644881 45.6282839, 5.0644972 45.6282239, 5.0644922 45.6280803, 5.0644687 45.6278608, 5.0644526 45.6277169)"
242811138,4430547225,1433558236,18.881616950745457,1,1,0,2,0,"LINESTRING(5.0644526 45.6277169, 5.0644475 45.6275832, 5.0644443 45.6275474)"
242832875,646538131,2502843823,96.64881787837857,1,1,1,2,2,"LINESTRING(5.0684245 45.6269269, 5.0684580 45.6260590)"
242832875,2502843823,2502843808,354.69733413480776,1,1,1,2,2,"LINESTRING(5.0684580 45.6260590, 5.0692573 45.6258277, 5.0695456 45.6256949, 5.0699110 45.6254738, 5.0704126 45.6252281, 5.0709781 45.6250580, 5.0714003 45.6247462, 5.0718270 45.6246462, 5.0723241 45.6244502)"
242832875,2502843808,2502843727,972.5945871402864,1,1,1,2,2,"LINESTRING(5.0723241 45.6244502, 5.0725186 45.6241278, 5.0724831 45.6236948, 5.0731612 45.6229999, 5.0736628 45.6223975, 5.0740711 45.6215511, 5.0739894 45.6209613, 5.0739253 45.6203290, 5.0742544 45.6187778, 5.0743719 45.6182497, 5.0749853 45.6167682, 5.0752057 45.6161365)"
242832877,471120372,2502843883,8.338639824678868,1,1,1,2,2,"LINESTRING(5.0546250 45.6311079, 5.0545864 45.6311159, 5.0545223 45.6311292)"
242832877,2502843883,2502843889,45.478850060331,1,1,1,2,2,"LINESTRING(5.0545223 45.6311292, 5.0539624 45.6312459)"
242832877,2502843889,4430749297,68.53851578680285,1,1,1,2,2,"LINESTRING(5.0539624 45.6312459, 5.0535862 45.6313181, 5.0532348 45.6313624, 5.0531035 45.6313785)"
242832877,4430749297,4430749298,31.590336031296868,1,1,1,2,2,"LINESTRING(5.0531035 45.6313785, 5.0527041 45.6314288)"
